Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7481308,93.77818298,96.50102997,103.0814819,102.1037521,98.38124084,96.9916687,101.7096329,107.3904877,100.2686005,101.9016571,98.18955994,97.4278183,109.3421097,,,,,,144.3038025,148.2515411,140.6520538,134.350708,139.7830505,
Africa Eastern and Southern,AFE,15.14538956,15.16372013,15.39179993,15.56462002,15.70582962,16.01972961,16.32764053,16.63246918,17.02416039,17.41731071,18.02304077,18.52495003,19.30031967,19.95816994,20.66827011,21.43824005,21.82292938,21.9201107,21.89982986,21.54814911,22.14089012,22.5958004,22.3975296,22.58641052,23.01580048,24.19882965,24.53129959,24.5527401,25.28495026,25.36993027,25.35331917,26.17155075,26.72328949,27.14590073,28.17016029,29.00828934,30.39012909,31.55454063,33.19589996,34.43642044,35.57675171,36.56216812,37.75268936,38.82212067,40.01231003,39.94012833,40.31689835,40.64913177,40.74385834,40.83172989,41.25703812,41.39151001,41.25233841,
Afghanistan,AFG,2.365010023,2.491940022,2.537489891,2.840440035,2.819190025,2.985899925,3.414000034,4.051249981,4.362949848,,,8.573249817,8.06427002,,9.216139793,8.919449806,8.538689613,,9.39070034,,,12.83843994,,9.805049896,10.36993027,12.41648006,,,,,,0,,7.026060104,6.403299809,9.695249557,15.40396023,15.48655987,22.9091301,28.39213943,33.01845932,36.81774902,38.41437149,38.6094017,38.47386169,37.8936615,38.63362122,39.84869003,41.13159943,,,,,
Africa Western and Central,AFW,5.081180096,5.240240097,5.591660023,6.064050198,6.229589939,6.506969929,6.809350014,7.162730217,8.088879585,8.858300209,9.827199936,11.50597,13.2434597,13.24009991,13.43297005,15.82005978,17.04422951,17.70627975,17.34140015,16.48044014,16.59059906,16.84133911,17.04331017,17.20260048,17.35305977,17.49526978,17.73628998,17.8964901,18.06390953,18.53296089,19.14015007,20.59185982,21.04468918,23.03676987,24.65851974,25.69457054,25.84832954,25.79347992,28.62573051,31.38619995,34.52886963,36.12704849,38.35364914,43.23894119,39.4001503,41.00001144,39.69626999,40.37953186,41.15449905,42.80904007,44.11071014,45.23136902,45.18254089,45.76683044
Angola,AGO,,5.194310188,5.855519772,,,,,,,,,,6.263539791,5.848849773,,,,,,,,,,,,,,,10.03909016,9.774909973,11.62817001,12.74489975,14.22659969,,,,,,19.46936989,20.71031952,22.52490044,21.96627045,,,,,42.29494095,,,,,48.86688995,,
Albania,ALB,,,,,,,71.87113953,,73.99371338,76.28617859,77.34958649,78.41153717,75.74299622,72.93174744,73.35456848,75.60738373,79.01051331,80.14476013,82.22361755,83.39620972,84.69454193,85.85664368,76.63288116,70.00112152,66.67153931,65.11148071,64.15637207,64.32389069,,66.48526001,,,,,77.12577057,80.97823334,82.54766846,84.59371185,85.94386292,88.45674133,91.19223785,92.29866028,94.21804047,99.11016846,98.90646362,99.09931946,96.65608978,94.92334747,95.84954834,95.53749847,92.29982758,94.35565948,93.22810364,92.66828918
Andorra,AND,,22.97101021,23.49398041,18.92404938,29.36893082,37.6255188,63.78504944,,,,,,,63.13959122,,,,,,,,,,,,,,,,,,,78.66066742,78.35856628,78.73786163,90.55422211,91.1206131,89.2249527,89.34465027,90.31649017,93.55609131,96.37330627,93.99720764,92.54206085,92.29741669,92.01053619,94.93450165,94.58873749,96.59140778,95.46256256,96.74295807,97.89700317,97.11418152,99.91790009
Arab World,ARB,17.97596931,18.05719948,18.55837059,19.40611076,20.22179985,21.22435951,22.81402969,24.75016022,26.32191086,27.73200035,28.9914608,30.21130943,31.94072914,33.33222961,34.75239182,36.34915161,38.24731064,39.34613037,40.01779175,40.8935318,43.93368912,44.56200027,44.4467392,45.37498093,47.32981873,47.985569,48.00028992,49.51860046,51.58567047,53.27959061,54.72808838,56.27801895,57.7038002,59.85094833,61.43637848,61.80020142,61.82339096,60.88962936,61.12279129,62.55760956,63.57110977,66.08985901,66.44094849,64.70826721,65.3094635,66.0622406,66.53518677,67.13529968,67.47979736,67.77490234,67.88430786,68.61235046,70.04638672,69.63635254
United Arab Emirates,ARE,,,,11.1517601,13.94707012,18.16010094,26.99056053,30.52246094,33.9914093,37.59757996,43.47872925,48.80281067,54.54681015,57.77972031,61.71588898,65.18464661,67.65078735,63.24729156,61.96379089,62.3193512,64.03359985,67.5845108,70.3004837,73.87484741,78.95681763,82.63935852,,76.402771,72.93679047,,,,,,,,,,,,,,,,,,78.03453064,77.35230255,,82.39730835,84.92111206,,,102.1951218
Argentina,ARG,47.59085083,48.29304886,49.72011185,52.53084183,55.55361938,57.63499832,59.3817482,59.51692963,59.41505051,58.80902863,59.69604874,61.16753006,62.07165909,61.90546036,68.65788269,74.28856659,73.84462738,72.87248993,73.63828278,,,,,,,,83.68595886,78.85756683,83.93900299,96.65315247,100.2045212,101.8223724,101.1853867,100.5503464,100.687851,99.29586792,98.56178284,98.59784698,99.88137817,102.7950516,104.6529388,106.842453,108.0570297,109.3140564,110.4391403,111.5614929,112.9484634,113.5865402,112.9108276,113.6552811,115.9238815,120.0273209,118.8876572,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75200653,,,,,,,89.60157013,88.5026474,93.56070709,99.32177734,89.54144287,,84.70526123,85.43070984,85.68183136,,,87.97823334,93.87223053,94.86218262,96.79145813,96.87210083,95.36003876
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,86.58670044,89.86927795,93.96598816,92.46009827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,72.49385834,,76.43888855,74.35294342,,76.79605103,51.89434814,,,,,,,,,,,,,,99.02224731,,,,,,,,78.10842896,,,,,,,112.2689133,120.9835129,120.3678284,117.4326935,116.3052368,125.5677032,,115.4820099,118.4574585,,115.1853027,118.9020615,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,135.0711365,132.8747559,143.645752,148.5580292,155.5344391,,,,,,,,,,,,,,,,,,147.5843964,144.4012909,144.5345306,132.3542175,139.6168365,135.490799,133.3471832,130.5630798,
Austria,AUT,,83.15617371,,,,,84.55239105,,,,,88.13684082,87.75170135,89.02072144,89.39354706,92.35913849,94.78649139,95.45842743,97.05101013,97.93627167,98.53047943,98.8182373,99.42949677,100.1698303,101.3773727,101.7755585,102.0507507,102.1130676,94.61711884,95.83386993,96.37793732,96.77340698,96.49458313,96.9213028,96.55132294,97.78806305,98.42021942,98.10642242,98.00293732,98.30626678,98.28147888,97.58538818,98.16639709,99.43067169,99.41703796,99.7147522,99.12381744,98.83361816,98.94316864,100.0493469,100.287178,101.0847092,100.4536285,
